pollutant,horizon_h,feature,importance
CO(GT),6,CO(GT)_lag1,0.0057460252935704614
CO(GT),6,CO(GT)_lag6,0.006777637706270893
CO(GT),6,CO(GT)_lag12,0.005426440616503895
CO(GT),6,CO(GT)_lag24,0.004026413457592406
CO(GT),6,C6H6(GT)_lag1,0.0015080392895493958
CO(GT),6,C6H6(GT)_lag6,0.001774257674085819
CO(GT),6,C6H6(GT)_lag12,0.00206713348756342
CO(GT),6,C6H6(GT)_lag24,0.0026122860947851985
CO(GT),6,NOx(GT)_lag1,0.010814404875448705
CO(GT),6,NOx(GT)_lag6,0.009948390369240315
CO(GT),6,NOx(GT)_lag12,0.005720682213112015
CO(GT),6,NOx(GT)_lag24,0.00676198964332651
CO(GT),6,NO2(GT)_lag1,0.006937464702520583
CO(GT),6,NO2(GT)_lag6,0.007872497870682177
CO(GT),6,NO2(GT)_lag12,0.007043415362846931
CO(GT),6,NO2(GT)_lag24,0.012278756311125502
CO(GT),6,PT08.S1(CO)_lag1,0.003948200890623536
CO(GT),6,PT08.S1(CO)_lag6,0.004422848680628267
CO(GT),6,PT08.S1(CO)_lag12,0.0040461574604118145
CO(GT),6,PT08.S1(CO)_lag24,0.003904524024397266
CO(GT),6,PT08.S2(NMHC)_lag1,0.0019241251601689248
CO(GT),6,PT08.S2(NMHC)_lag6,0.0022370003799162064
CO(GT),6,PT08.S2(NMHC)_lag12,0.0024241262499632103
CO(GT),6,PT08.S2(NMHC)_lag24,0.004405394531562539
CO(GT),6,PT08.S3(NOx)_lag1,0.0033543673680949872
CO(GT),6,PT08.S3(NOx)_lag6,0.00453202395061137
CO(GT),6,PT08.S3(NOx)_lag12,0.004357295252152856
CO(GT),6,PT08.S3(NOx)_lag24,0.0050133312227761085
CO(GT),6,PT08.S4(NO2)_lag1,0.0033312880598693464
CO(GT),6,PT08.S4(NO2)_lag6,0.004186943353393958
CO(GT),6,PT08.S4(NO2)_lag12,0.005142904048592542
CO(GT),6,PT08.S4(NO2)_lag24,0.005821808315384855
CO(GT),6,PT08.S5(O3)_lag1,0.0070875628716677635
CO(GT),6,PT08.S5(O3)_lag6,0.004288703990971862
CO(GT),6,PT08.S5(O3)_lag12,0.004209830591638795
CO(GT),6,PT08.S5(O3)_lag24,0.005320349197145555
CO(GT),6,CO(GT)_roll_mean_6h,0.01818283558008008
CO(GT),6,CO(GT)_roll_std_6h,0.0468066306568532
CO(GT),6,CO(GT)_roll_mean_24h,0.16375923657201133
CO(GT),6,CO(GT)_roll_std_24h,0.039581178251160434
CO(GT),6,C6H6(GT)_roll_mean_6h,0.006623006126549344
CO(GT),6,C6H6(GT)_roll_std_6h,0.005586669161643699
CO(GT),6,C6H6(GT)_roll_mean_24h,0.008348483969315996
CO(GT),6,C6H6(GT)_roll_std_24h,0.009446409217011712
CO(GT),6,NOx(GT)_roll_mean_6h,0.02251631116476967
CO(GT),6,NOx(GT)_roll_std_6h,0.007398722889953438
CO(GT),6,NOx(GT)_roll_mean_24h,0.014685020585184535
CO(GT),6,NOx(GT)_roll_std_24h,0.008399637101157027
CO(GT),6,NO2(GT)_roll_mean_6h,0.00843159504478398
CO(GT),6,NO2(GT)_roll_std_6h,0.014007904365651115
CO(GT),6,NO2(GT)_roll_mean_24h,0.012453896792300446
CO(GT),6,NO2(GT)_roll_std_24h,0.007766498500859994
CO(GT),6,NOx_NO2_ratio,0.012919578901957185
CO(GT),6,C6H6_CO_ratio,0.012395552451881816
CO(GT),6,PT08.S1(CO)_minus_CO(GT),0.00650250757666448
CO(GT),6,PT08.S3(NOx)_minus_NOx(GT),0.016174138538892546
CO(GT),6,PT08.S4(NO2)_minus_NO2(GT),0.0046012951286103325
C6H6(GT),6,CO(GT),0.005244616446523211
C6H6(GT),6,PT08.S1(CO),0.0046241196737532115
C6H6(GT),6,C6H6(GT),0.007352572245977257
C6H6(GT),6,PT08.S2(NMHC),0.011454676577519375
C6H6(GT),6,NOx(GT),0.005508308994606926
C6H6(GT),6,PT08.S3(NOx),0.01247789053868973
C6H6(GT),6,NO2(GT),0.0037835021283990624
C6H6(GT),6,PT08.S4(NO2),0.006302397595556318
C6H6(GT),6,PT08.S5(O3),0.005987258171094948
C6H6(GT),6,T,0.009767240841070753
C6H6(GT),6,RH,0.015723487893071424
C6H6(GT),6,AH,0.007779238171207043
C6H6(GT),6,Hour,0.11149737942476586
C6H6(GT),6,Day,0.013016656514991365
C6H6(GT),6,Month,0.0017778343375632734
C6H6(GT),6,hour,0.11547296473030534
C6H6(GT),6,dayofweek,0.013048199337882907
C6H6(GT),6,month,0.0018133923399735463
C6H6(GT),6,is_weekend,0.012976663215780112
C6H6(GT),6,hour_sin,0.016397379417022486
C6H6(GT),6,hour_cos,0.08025367758656203
C6H6(GT),6,dow_sin,0.015247500704322065
C6H6(GT),6,dow_cos,0.0029370428319075077
C6H6(GT),6,month_sin,0.0019143656421415525
C6H6(GT),6,month_cos,0.0039341281170517
C6H6(GT),6,CO(GT)_lag1,0.0024579036279215516
C6H6(GT),6,CO(GT)_lag6,0.003266030230952467
C6H6(GT),6,CO(GT)_lag12,0.0039061726620491692
C6H6(GT),6,CO(GT)_lag24,0.004172702664949974
C6H6(GT),6,C6H6(GT)_lag1,0.0023917427600813963
C6H6(GT),6,C6H6(GT)_lag6,0.0025917721478150046
C6H6(GT),6,C6H6(GT)_lag12,0.0018467890921173558
C6H6(GT),6,C6H6(GT)_lag24,0.002518167342410682
C6H6(GT),6,NOx(GT)_lag1,0.003942129016156471
C6H6(GT),6,NOx(GT)_lag6,0.0060011376777896275
C6H6(GT),6,NOx(GT)_lag12,0.005157924910800324
C6H6(GT),6,NOx(GT)_lag24,0.007581329098272098
C6H6(GT),6,NO2(GT)_lag1,0.00319601890546833
C6H6(GT),6,NO2(GT)_lag6,0.0059887352722705605
C6H6(GT),6,NO2(GT)_lag12,0.004709159630031362
C6H6(GT),6,NO2(GT)_lag24,0.008852449316177688
C6H6(GT),6,PT08.S1(CO)_lag1,0.003433745317273916
C6H6(GT),6,PT08.S1(CO)_lag6,0.004252303391297013
C6H6(GT),6,PT08.S1(CO)_lag12,0.00428498556949667
C6H6(GT),6,PT08.S1(CO)_lag24,0.007223467431505878
C6H6(GT),6,PT08.S2(NMHC)_lag1,0.0032991557365433227
C6H6(GT),6,PT08.S2(NMHC)_lag6,0.004059559762016053
